name,city,price,stars,rating_text,num_reviews,total_rating,staff,facilities,cleanliness,comfort,value_for_money,location_rating
White Orchid,Cox's Bazar,4098,3,None,52,6.7,7.4,7.5,6.8,7.5,6,
Sea Front Resort,Cox's Bazar,2215,0,None,22,5.4,6.1,,,,,
Marino Hotel - Best near Airport,Dhaka,5537,3,Good,27,7,7.1,7.3,7.3,8,7.2,
Exotica Sampan,Cox's Bazar,6645,0,None,31,6.7,8.7,,,,,
Beach Queen Resort,Cox's Bazar,4430,3,None,16,6.4,7.3,6.8,6.8,,,
Saanha Windtrip,Sylhet,2769,0,Good,26,7.3,7.6,7.5,7.6,7.3,9.2,
Ashiana Serviced Apartment,Sylhet,4098,0,Wonderful,11,9.4,9.3,9.8,7.5,,,
Royal Park Residential Hotel,Chittagong,2436,0,None,27,4.5,4.8,8,3.2,,,
Hotel Sea Uttara,Cox's Bazar,3544,0,Good,22,7,8.3,,,,,
Hotel Highgarden,Dhaka,5701,3,Good,27,7.7,8.7,8.6,7.7,8.4,8,
Rajanigandha Family Suites,Dhaka,5537,0,Very Good,26,8.1,8,8.1,7.8,8,8.8,
Exotica Sampan,Cox's Bazar,6091,0,None,31,6.7,8.7,,,,,
Aristocrat Inn,Dhaka,5261,3,Good,18,7.8,8.1,7.8,7.9,8.5,8.1,
Appayan Guest House Baridhara,Dhaka,2326,2,Good,62,7.4,7.8,7.9,8.1,7.9,,
White Rose Suites Ltd,Dhaka,2719,1,None,30,6.4,7,6.7,7.8,,,
Laguna Beach Hotel & Resort,Cox's Bazar,2326,3,None,89,5.7,6.2,6.6,6.4,7.8,5.9,
Eastern House - Peaceful Living at Diplomatic Zone,Dhaka,4651,3,None,19,6.5,7,7,6.2,8.8,7.5,
Grand Palace Hotel & Resorts Sylhet,Sylhet,11629,3,Excellent,13,8.8,8.8,9.2,8.7,8.1,,
Hotel Silver Bay,Cox's Bazar,2436,0,None,27,5.9,6.3,7.5,7.5,,,
Hotel Beach Park,Cox's Bazar,3876,2,None,26,5.3,7,6.3,7.8,,,
Dhaka Comfort Inn & Suite,Dhaka,2769,0,None,12,4.9,4.6,6.7,2.5,,,
Suite Sadaf,Cox's Bazar,4430,3,None,13,5.6,6.2,6.3,7.3,,,
Hotel Metro International,Sylhet,4984,3,None,32,6.9,7.5,7.7,7.3,7.6,5,
Grand Park Hotel,Chittagong,3987,0,None,22,5.4,5.5,8,6.3,,,
Elite Cox's Resort,Cox's Bazar,1550,0,None,26,6.6,6.9,,,,,
Grand Beach Resort,Cox's Bazar,1661,0,None,33,4.7,5.2,6.3,5,,,
THE AVENUE HOTEL & SUITES,Chittagong,7309,3,None,18,5.6,6.5,7.2,5.3,7.1,7,
Quality Inn Dhaka,Dhaka,3667,3,None,28,5.3,6.4,6.6,6.3,5.7,7.6,5.8
Royal Palm Hotel,Sylhet,3544,0,None,33,6.4,7.2,8.1,7.5,,,
